"churn_status"	"session_length_seconds"	"session_count"	"event_count"	"closed_session_event_count"	"open_session_event_count"	"quest_completed_event_count"	"store_purchase_event_count"	"active_days"
"1"	"Stayed"	18355	43	313	55	55	48	0	31
"2"	"Stayed"	16468	24	235	55	54	47	0	13
"3"	"Churned"	46231	101	742	217	217	51	2	12
"4"	"Stayed"	168537	212	2763	272	267	1391	6	53
"5"	"Churned"	12885	37	257	54	53	22	0	16
"6"	"Stayed"	23161	71	633	74	72	240	4	29
"7"	"Churned"	13369	16	306	30	29	67	1	6
"8"	"Stayed"	59723	154	1246	256	256	101	3	23
"9"	"Stayed"	66427	132	1800	246	246	478	2	32
"10"	"Churned"	1300	3	94	5	5	7	0	1
"11"	"Stayed"	83627	138	1968	214	214	754	0	33
"12"	"Stayed"	11050	20	238	35	33	20	0	7
"13"	"Churned"	13984	51	290	65	65	24	0	15
"14"	"Stayed"	60410	96	1072	152	152	152	7	21
"15"	"Stayed"	76403	70	1880	162	160	856	1	21
"16"	"Churned"	159	4	16	4	4	0	0	3
"17"	"Stayed"	193454	199	3603	482	477	1148	21	43
"18"	"Stayed"	62668	138	1392	231	235	268	7	34
"19"	"Churned"	1382	5	55	7	6	2	0	2
"20"	"Churned"	1656	3	59	6	6	6	0	3
"21"	"Stayed"	335	3	17	6	6	0	0	1
"22"	"Stayed"	4909	6	140	8	8	17	0	6
"23"	"Stayed"	1362	3	59	5	5	2	0	1
"24"	"Stayed"	130248	187	2071	328	328	364	31	28
"25"	"Stayed"	248000	601	5771	948	935	2314	21	55
"26"	"Stayed"	840	1	9	2	2	0	0	1
"27"	"Stayed"	10900	15	285	31	31	45	1	5
"28"	"Churned"	18747	42	268	63	61	28	0	13
"29"	"Churned"	3	1	5	1	1	0	0	1
"30"	"Churned"	448	1	15	2	2	0	0	1
"31"	"Churned"	4794	13	124	17	17	23	1	10
"32"	"Stayed"	8843	17	163	29	27	35	1	14
"33"	"Stayed"	25641	66	550	104	104	97	0	19
"34"	"Churned"	2997	4	106	7	4	12	0	4
"35"	"Churned"	2103	5	74	14	13	3	0	2
"36"	"Churned"	136202	316	3546	560	557	1437	23	44
"37"	"Churned"	882	4	39	8	8	1	0	3
"38"	"Stayed"	49158	123	1329	188	186	493	14	51
"39"	"Stayed"	1911	1	26	4	3	3	0	1
"40"	"Stayed"	7874	24	245	39	39	27	2	6
"41"	"Churned"	69	1	5	1	1	0	0	1
"42"	"Churned"	1442	7	42	7	7	5	0	6
"43"	"Churned"	3	1	4	1	1	0	0	1
"44"	"Churned"	32267	111	689	138	136	72	1	31
"45"	"Stayed"	26541	61	345	80	80	53	1	8
"46"	"Churned"	2097	5	98	7	6	11	0	3
"47"	"Stayed"	3202	9	118	15	14	15	0	6
"48"	"Stayed"	103963	219	2120	357	356	578	15	29
"49"	"Churned"	52565	124	953	250	248	55	3	20
"50"	"Stayed"	11413	49	298	70	70	6	3	31
"51"	"Stayed"	1995	21	88	22	22	1	0	17
"52"	"Stayed"	69929	253	1845	298	294	624	19	55
"53"	"Churned"	11366	22	259	39	37	24	0	13
"54"	"Stayed"	58340	224	1422	287	288	418	5	52
"55"	"Stayed"	10311	49	416	69	69	69	3	29
"56"	"Churned"	702	8	40	8	8	5	0	8
"57"	"Churned"	2429	7	92	10	10	11	0	4
"58"	"Churned"	760	1	22	5	5	0	0	1
"59"	"Stayed"	78216	135	1114	227	227	91	5	21
"60"	"Churned"	430	5	27	7	7	0	0	5
"61"	"Churned"	478	3	25	4	4	2	0	2
"62"	"Churned"	1704	2	271	3	4	18	1	2
"63"	"Churned"	2264	2	63	4	4	7	0	2
"64"	"Churned"	535	5	21	5	5	1	0	5
"65"	"Stayed"	24079	46	744	92	89	83	2	11
"66"	"Stayed"	45703	290	1401	322	318	135	13	48
"67"	"Churned"	38237	140	863	171	180	102	2	38
"68"	"Stayed"	3385	10	130	17	17	11	0	3
"69"	"Stayed"	82379	204	1516	349	348	198	11	47
"70"	"Churned"	5004	3	163	6	6	18	1	3
"71"	"Stayed"	145082	452	2638	577	574	443	28	52
"72"	"Stayed"	454	3	33	5	5	2	0	1
"73"	"Churned"	1141	3	46	5	5	8	0	3
"74"	"Churned"	5997	21	109	23	23	1	0	21
"75"	"Stayed"	18988	17	197	30	28	21	1	3
"76"	"Churned"	5062	18	109	19	18	25	0	15
"77"	"Stayed"	9287	8	196	18	15	44	0	4
"78"	"Churned"	27550	36	922	84	83	244	0	11
"79"	"Churned"	3061	6	74	10	10	10	0	2
"80"	"Stayed"	0	1	1	0	0	0	0	1
"81"	"Stayed"	24380	40	345	63	64	37	0	13
"82"	"Stayed"	97435	635	2815	718	718	93	13	55
"83"	"Churned"	22236	29	523	57	55	87	1	7
"84"	"Stayed"	295	2	19	3	3	1	0	1
"85"	"Stayed"	149143	298	3205	495	494	629	6	43
"86"	"Stayed"	110584	201	2072	471	468	136	9	24
"87"	"Stayed"	9461	5	310	6	6	96	2	2
"88"	"Churned"	168	2	12	3	3	0	0	2
"89"	"Stayed"	21504	85	554	103	101	38	3	23
"90"	"Stayed"	5500	19	132	23	23	29	0	11
"91"	"Stayed"	424879	457	11345	1002	996	6564	14	55
"92"	"Stayed"	4247	10	138	16	16	13	0	6
"93"	"Churned"	15099	19	271	35	33	97	0	16
"94"	"Churned"	3145	10	73	18	18	6	0	9
"95"	"Stayed"	2178	10	58	10	10	7	0	7
"96"	"Stayed"	173440	181	2626	332	331	1034	12	45
"97"	"Churned"	305	1	5	1	1	0	0	1
"98"	"Churned"	10	1	4	1	1	0	0	1
"99"	"Stayed"	2112	5	58	9	8	8	0	2
"100"	"Churned"	295	1	13	2	2	0	0	1
"101"	"Churned"	5367	6	124	9	8	17	0	5
"102"	"Stayed"	3294	11	133	18	18	17	0	6
"103"	"Stayed"	79720	267	1400	367	369	22	13	50
"104"	"Stayed"	197627	365	3192	877	876	201	11	34
"105"	"Stayed"	37925	49	669	123	119	188	0	12
"106"	"Stayed"	43144	64	688	104	101	48	32	20
"107"	"Stayed"	949	2	20	5	5	0	0	2
"108"	"Churned"	673	2	19	2	2	3	0	1
"109"	"Churned"	106	1	12	4	4	0	0	1
"110"	"Stayed"	3934	9	129	14	12	15	0	5
"111"	"Churned"	8616	57	258	64	64	27	2	23
"112"	"Churned"	31060	134	620	205	202	4	0	27
